Video_id,Category_id,Title,Description,url_default,Channel_id,Publish_time
r-uOLxNrNk8,27,"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)","Learn Data Analysis with Python in this comprehensive tutorial for beginners, with exercises included! NOTE: Check description ...",https://i.ytimg.com/vi/r-uOLxNrNk8/default.jpg,UC8butISFwT-Wl7EV0hUK0BQ,2020-04-15T13:19:55Z
pixlHHe_lNQ,27,Full Power BI Guided Project | Microsoft Power BI for Beginners,In this video we will be walking through a full project in Power BI! Download Microsoft Power BI: ...,https://i.ytimg.com/vi/pixlHHe_lNQ/default.jpg,UC7cs8q-gJRlGwj4A8OmCmXg,2022-09-27T10:30:19Z
7eh4d6sabA0,27,Python Machine Learning Tutorial (Data Science),Build your first AI project with Python! This beginner-friendly machine learning tutorial uses real-world data. Subscribe for ...,https://i.ytimg.com/vi/7eh4d6sabA0/default.jpg,UCWv7vMbMWH4-V0ZXdmDpPBA,2020-09-17T13:00:03Z
nkmHqs1I_z0,27,Master Power BI Essentials in Just 15 minutes,Learn the essentials of Power BI in just 15 minutes. Get the Power BI course here: ...,https://i.ytimg.com/vi/nkmHqs1I_z0/default.jpg,UCkHdBeQ4DuvBXTahMYZVlMA,2023-03-05T18:45:01Z
WcDaZ67TVRo,27,Data Analysis with Python for Excel Users - Full Course,"Learn how to use Python and Pandas for data analysis. This course will be especially helpful if you have experience with Excel, ...",https://i.ytimg.com/vi/WcDaZ67TVRo/default.jpg,UC8butISFwT-Wl7EV0hUK0BQ,2021-11-24T15:30:05Z
77jIzgvCIYY,27,Hands-On Power BI Tutorial 📊 Beginner to Pro 2023 Edition [Full Course] ⚡,Want more On-Demand Learning? - Start With The FREE Learn With The Nerds Stream Plan: https://prag.works/lwtn-trial Class ...,https://i.ytimg.com/vi/77jIzgvCIYY/default.jpg,UC5CugyvTdOloiuTc9nN09TA,2023-02-09T19:38:03Z
sTeoEFzVNSc,27,ChatGPT Tutorial for Developers - 38 Ways to 10x Your Productivity,"Learn how to use ChatGPT to 10x your productivity! 38 examples using Python, JavaScript, HTML, CSS, React, SQL and more!",https://i.ytimg.com/vi/sTeoEFzVNSc/default.jpg,UCWv7vMbMWH4-V0ZXdmDpPBA,2023-01-13T17:00:09Z
vmEHCJofslg,27,"Complete Python Pandas Data Science Tutorial! (Reading CSV/Excel files, Sorting, Filtering, Groupby)",Practice your Python Pandas data science skills with problems on StrataScratch! https://stratascratch.com/?via=keith Data & code ...,https://i.ytimg.com/vi/vmEHCJofslg/default.jpg,UCq6XkhO5SZ66N04IcPbqNcw,2018-10-26T00:10:07Z
Gaf_jCnA6mc,27,ChatGPT Tutorial: How to Use Chat GPT For Beginners 2023,Build an AMAZING wesbite using AI with Hostinger for under $3/month (use code CHARLIECHANG for 90% discount): ...,https://i.ytimg.com/vi/Gaf_jCnA6mc/default.jpg,UCTQuKo8v0PaPCvk5aRxc_Yg,2023-04-04T18:09:53Z
e6QD8lP-m6E,27,Power BI Full Course Tutorial (8+ Hours),Power BI Full Course Tutorial (8+ Hours) Get Ad-Free Training by becoming a member today!,https://i.ytimg.com/vi/e6QD8lP-m6E/default.jpg,UCqyBfm_H9ugGirk1ufYA2YA,2023-03-17T16:30:10Z
K690u_FkL4A,27,Microsoft Power BI | How to get data from SQL server? | Tutorialspoint,"Microsoft Power BI | How to get data from SQL server? | Tutorialspoint Microsoft Power BI for Beginners. In this Power BI tutorial, ...",https://i.ytimg.com/vi/K690u_FkL4A/default.jpg,UCVLbzhxVTiTLiVKeGV7WEBg,2020-03-04T04:34:05Z
3u7MQz1EyPY,27,Power BI Full Course - Learn Power BI in 4 Hours | Power BI Tutorial for Beginners | Edureka,"Edureka Power BI Training (Use Code ""YOUTUBE20"") - https://www.edureka.co/power-bi-certification-training This ...",https://i.ytimg.com/vi/3u7MQz1EyPY/default.jpg,UCkw4JCwteGrDHIsyIIKo4tQ,2019-08-11T08:30:00Z
mkv5mxYu0Wk,27,Data Science With Python | Python for Data Science | Python Data Science Tutorial | Simplilearn,Caltech Post Graduate Program In Data Science: ...,https://i.ytimg.com/vi/mkv5mxYu0Wk/default.jpg,UCsvqVGtbbyHaMoevxPAq9Fg,2018-05-15T13:40:37Z
gP-AxNi6uxo,27,How to use Power Query in Power BI | Microsoft Power BI for Beginners,In this series we will be walking through the basics of Microsoft Power BI. In this video we will be walking through how to use the ...,https://i.ytimg.com/vi/gP-AxNi6uxo/default.jpg,UC7cs8q-gJRlGwj4A8OmCmXg,2022-06-14T10:30:08Z
8hly31xKli0,27,Algorithms and Data Structures Tutorial - Full Course for Beginners,"In this course you will learn about algorithms and data structures, two of the fundamental topics in computer science. There are ...",https://i.ytimg.com/vi/8hly31xKli0/default.jpg,UC8butISFwT-Wl7EV0hUK0BQ,2021-03-18T19:48:53Z
GPVsHOlRBBI,27,"Data Analysis with Python Course - Numpy, Pandas, Data Visualization","Learn the basics of Python, Numpy, Pandas, Data Visualization, and Exploratory Data Analysis in this course for beginners.",https://i.ytimg.com/vi/GPVsHOlRBBI/default.jpg,UC8butISFwT-Wl7EV0hUK0BQ,2021-02-18T17:03:50Z
jHv63Uvk5VA,27,Complete ChatGPT Tutorial - [Become A Power User in 30 Minutes],"Stay ahead of the curve with our AI newsletter: https://neuralfrontier.beehiiv.com/ In this video, I will show you the 10 major types of ...",https://i.ytimg.com/vi/jHv63Uvk5VA/default.jpg,UCg60QRUSvLZMF4zHv2ajBqA,2023-02-25T14:46:49Z
QJw4HkagVWc,27,👉Beginner Power BI DAX Functions Tutorial [Full Course],The DAX language allows developers to easily extend the analytical capabilities of their data model. DAX is a very intuitive ...,https://i.ytimg.com/vi/QJw4HkagVWc/default.jpg,UC5CugyvTdOloiuTc9nN09TA,2020-10-08T18:21:38Z
MrLnibFTtbA,27,Data Modeling for Power BI [Full Course] 📊,Prerequisites: (to follow along or review later) ✔️ Download student files - https://prag.works/202208-LWTN-Files After you finish ...,https://i.ytimg.com/vi/MrLnibFTtbA/default.jpg,UC5CugyvTdOloiuTc9nN09TA,2022-08-11T17:48:05Z
JOrhcV3_NAk,27,Power BI Project For Beginners | Sales Insights Data Analysis Project - 3 - Data Analysis Using SQL,"In the previous video, we looked at data discovery for our sales insights data analysis project. In this video, we will look at mysql ...",https://i.ytimg.com/vi/JOrhcV3_NAk/default.jpg,UCh9nVJoWXmFb7sLApWGcLPQ,2020-06-25T12:30:03Z
